project_id,project_name,city,province,sector,contractor,project_value_cad,start_date,end_date,status,workers_on_site,safety_incidents,delay_days,inspector_name,approved
AB-2021-0185,Facility D185,Medicine Hat,Alberta,Industrial,Fluor Canada,1841980.53,2021-12-12,2021-06-25,In Progress,,,57,A. Mehta,yes
AB-2023-0103,Overpass Z103,Fort McMurray,Alberta,Industrial,Fluor Canada,6168867.58,2023-05-07,2023-06-06,Completed,52,,75,M. Al-Farsi,Yes
AB-2023-0087,Plaza J87,Edmonton,Alberta,Commercial,Graham Construction,22306883.89,2022-09-19,2023-08-26,In Progress,27,6,122,,y
AB-2020-0148,Bridge S148,Lethbridge,Alberta,Commercial,Stantec,28598096.99,2020-05-23,2021-12-28,In Progress,116,9,79,T. Leblanc,Yes
AB-2022-0118,Highway O118,Blackfalds,Alberta,Industrial,Ledcor Group,,2023-01-01,2025-12-09,On Hold,,10,45,R. Sharma,Yes
AB-2023-0059,Facility H59,Edmonton,Alberta,Industrial,Fluor Canada,3773452.91,2021-02-05,2022-10-21,Completed,157,7,110,R. Sharma,Yes
AB-2022-0082,Bridge E82,Grande Prairie,Alberta,Industrial,ATCO,40274491.65,2023-06-06,2024-12-16,In Progress,210,6,154,T. Leblanc,
AB-2020-0180,Pipeline Y180,Fort McMurray,Alberta,Residential,Fluor Canada,44477989.32,2022-05-09,2024-12-21,In Progress,66,12,153,,YES
AB-2020-0008,Bridge I8,Red Deer,Alberta,Commercial,Fluor Canada,7555944.11,2023-04-18,2025-12-07,Cancelled,171,8,63,M. Al-Farsi,Yes
AB-2022-0062,Plaza K62,Red Deer,Alberta,Industrial,Bird Construction,15852612.64,2022-02-25,2023-10-08,In Progress,201,9,142,D. Kowalski,yes
AB-2021-0089,Overpass L89,Lethbridge,Alberta,Infrastructure,EllisDon,11389648.11,2022-03-21,,Completed,246,2,154,A. Mehta,Yes
AB-2022-0018,Plaza S18,Edmonton,Alberta,Infrastructure,ATCO,33764070.86,2021-03-26,2021-07-01,On Hold,110,11,68,T. Leblanc,Yes
AB-2023-0191,Highway J191,Fort McMurray,Alberta,Infrastructure,Stantec,5348162.26,2020-01-28,2020-11-21,On Hold,249,11,87,T. Leblanc,Yes
AB-2022-0026,Tower A26,Lethbridge,Alberta,Residential,ATCO,24486109.65,2023-01-07,2024-07-25,Completed,,9,1,A. Mehta,yes
AB-2022-0078,Pipeline A78,Lethbridge,Alberta,Infrastructure,PCL Construction,,2023-11-26,2025-08-03,Cancelled,9,9,36,S. Benson,y
AB-2020-0036,Highway K36,Fort McMurray,Alberta,Industrial,Fluor Canada,8418710.62,2020-05-28,,Cancelled,,0,144,S. Benson,Yes
AB-2021-0057,Highway F57,Fort McMurray,Alberta,Commercial,Graham Construction,35963344.99,2020-11-28,2020-03-01,In Progress,87,,32,,
AB-2020-0056,Bridge E56,Blackfalds,Alberta,Residential,Bird Construction,26931996.28,2020-01-26,2021-04-05,In Progress,,3,59,A. Mehta,Yes
AB-2020-0064,Overpass M64,Fort McMurray,Alberta,Infrastructure,PCL Construction,7127758.67,2020-11-03,2021-08-22,Completed,74,8,110,R. Sharma,yes
AB-2022-0022,Pipeline W22,Medicine Hat,Alberta,Oil & Gas,Ledcor Group,9576693.42,2022-08-15,2023-11-07,In Progress,208,10,131,A. Mehta,Yes
AB-2022-0030,Bridge E30,Calgary,Alberta,Infrastructure,ATCO,32218409.52,2020-10-23,2022-04-04,On Hold,158,12,10,A. Mehta,
AB-2020-0156,Tower A156,Blackfalds,Alberta,Industrial,Stantec,24186216.03,2021-08-10,2022-05-28,In Progress,82,11,55,A. Mehta,Yes
AB-2022-0150,Bridge U150,Blackfalds,Alberta,Industrial,Stantec,38692286.25,2021-06-06,2022-02-19,Completed,135,,3,M. Al-Farsi,Yes
AB-2020-0088,Bridge K88,Red Deer,Alberta,Infrastructure,PCL Construction,30652888.23,2022-03-27,2024-11-19,In Progress,238,1,77,T. Leblanc,Yes
AB-2021-0181,Tower Z181,Calgary,Alberta,Industrial,EllisDon,18922671.02,2023-12-02,2025-12-19,On Hold,61,10,171,A. Mehta,
AB-2021-0153,Depot X153,Lethbridge,Alberta,Oil & Gas,Bird Construction,41968029.33,2020-04-18,2021-11-27,Completed,5,6,78,R. Sharma,No
AB-2020-0044,Pipeline S44,Fort McMurray,Alberta,Industrial,Fluor Canada,11081331.14,2021-07-07,2023-09-24,In Progress,,6,129,S. Benson,Yes
AB-2023-0055,Facility D55,Edmonton,Alberta,Industrial,ATCO,12696345.28,2022-04-15,2023-04-28,Completed,235,5,,S. Benson,No
AB-2022-0090,Highway M90,Edmonton,Alberta,Residential,EllisDon,34548111.19,2023-10-21,2023-08-21,Completed,128,12,76,,Yes
AB-2022-0182,Pipeline A182,Red Deer,Alberta,Oil & Gas,Graham Construction,21264522.14,2022-12-26,2024-03-22,Completed,95,4,84,A. Mehta,yes
AB-2023-0075,Depot X75,Lethbridge,Alberta,Infrastructure,Fluor Canada,12787462.21,2023-09-17,2024-03-27,Completed,69,,95,R. Sharma,
AB-2021-0093,Depot P93,Calgary,Alberta,Residential,ATCO,43505895.38,2021-10-12,2021-01-10,In Progress,125,0,110,T. Leblanc,yes
AB-2020-0128,Pipeline Y128,Edmonton,Alberta,Industrial,Fluor Canada,13732044.02,2022-11-05,2024-07-26,Cancelled,127,8,177,,
AB-2021-0005,Facility F5,Blackfalds,Alberta,Commercial,EllisDon,33562755.85,2022-12-19,2023-10-13,In Progress,28,1,40,,Yes
AB-2020-0112,Pipeline I112,Fort McMurray,Alberta,Residential,Graham Construction,19309946.12,2023-01-12,2025-11-13,On Hold,109,6,137,,No
AB-2021-0001,Bridge B1,Calgary,Alberta,Infrastructure,Bird Construction,33180733.96,2020-10-14,2020-01-03,Completed,148,10,107,M. Al-Farsi,No
AB-2023-0127,Tower X127,Medicine Hat,Alberta,Infrastructure,EllisDon,28535675.42,2021-06-13,2022-07-12,Completed,144,12,118,M. Al-Farsi,No
AB-2023-0035,Plaza J35,Blackfalds,Alberta,Infrastructure,EllisDon,37493382.1,2022-04-12,2022-05-01,In Progress,18,11,163,,Yes
AB-2021-0073,Overpass V73,Calgary,Alberta,Infrastructure,EllisDon,9756540.86,2023-04-08,2023-03-03,In Progress,202,11,9,A. Mehta,Yes
AB-2023-0171,Overpass P171,Medicine Hat,Alberta,Oil & Gas,Bird Construction,37859752.91,2023-09-22,2024-10-08,Completed,223,8,132,T. Leblanc,Yes
AB-2023-0139,Pipeline J139,Red Deer,Alberta,Commercial,Bird Construction,14596037.52,2021-11-13,2022-03-19,Completed,120,12,23,,
AB-2021-0077,Highway Z77,Grande Prairie,Alberta,Residential,Stantec,6321341.51,2022-08-23,2022-12-16,Completed,9,2,155,,Yes
AB-2022-0086,Plaza I86,Edmonton,Alberta,Commercial,PCL Construction,40455754.53,2023-02-26,2025-06-22,Completed,79,2,179,T. Leblanc,YES
AB-2020-0104,Facility A104,Medicine Hat,Alberta,Oil & Gas,Stantec,30166125.03,2021-03-16,2022-04-01,In Progress,73,4,146,D. Kowalski,yes
AB-2021-0169,Depot N169,Red Deer,Alberta,Residential,Stantec,,2020-05-27,2022-11-20,Completed,,4,121,R. Sharma,yes
AB-2023-0155,Highway Z155,Medicine Hat,Alberta,Commercial,Bird Construction,38313479.7,2023-12-27,2025-06-11,In Progress,,12,27,T. Leblanc,Yes
AB-2021-0105,Overpass B105,Lethbridge,Alberta,Residential,PCL Construction,7313299.61,2022-12-04,2024-05-12,In Progress,127,11,95,,
AB-2023-0019,Facility T19,Calgary,Alberta,Industrial,Bird Construction,41342567.77,2022-05-27,2022-04-01,Cancelled,226,12,164,,
AB-2023-0003,Pipeline D3,Grande Prairie,Alberta,Oil & Gas,Bird Construction,2205223.61,2021-05-03,2021-02-13,Completed,46,3,179,R. Sharma,Yes
AB-2022-0126,Bridge W126,Red Deer,Alberta,Infrastructure,Ledcor Group,15049942.11,2023-06-15,2024-07-27,Completed,39,9,51,,YES
AB-2021-0125,Tower V125,Medicine Hat,Alberta,Commercial,Graham Construction,12188044.85,2021-02-06,2022-05-14,In Progress,,3,126,M. Al-Farsi,No
AB-2020-0136,Bridge G136,Calgary,Alberta,Commercial,EllisDon,,2021-09-10,2021-08-19,In Progress,135,1,139,A. Mehta,
AB-2023-0147,Highway R147,Fort McMurray,Alberta,Commercial,Ledcor Group,42698297.86,2023-09-10,2025-12-17,Cancelled,26,8,71,R. Sharma,yes
AB-2023-0123,Tower T123,Medicine Hat,Alberta,Residential,EllisDon,32132917.69,2020-05-05,2021-12-26,Completed,97,0,113,A. Mehta,yes
AB-2022-0162,Overpass G162,Red Deer,Alberta,Commercial,Bird Construction,36308528.61,2022-10-01,2024-12-12,Completed,247,12,126,S. Benson,Yes
AB-2021-0037,Plaza L37,Edmonton,Alberta,Oil & Gas,ATCO,35614726.22,2021-09-13,2022-08-10,Cancelled,163,11,53,M. Al-Farsi,yes
AB-2023-0119,Tower P119,Lethbridge,Alberta,Commercial,EllisDon,12139514.44,2023-02-12,2024-08-19,Completed,180,1,166,D. Kowalski,Yes
AB-2021-0033,Pipeline H33,Fort McMurray,Alberta,Oil & Gas,Ledcor Group,8718880.6,2021-12-14,2022-09-25,Cancelled,130,0,56,,No
AB-2020-0152,Highway W152,Red Deer,Alberta,Commercial,Ledcor Group,3241350.73,2023-05-25,2024-06-03,Completed,79,4,62,,YES
AB-2021-0129,Highway Z129,Grande Prairie,Alberta,Oil & Gas,PCL Construction,11283158.95,2022-03-21,2024-01-19,Completed,197,12,2,R. Sharma,yes
AB-2021-0049,Tower X49,Lethbridge,Alberta,Industrial,EllisDon,30057806.17,2023-05-22,2025-03-03,On Hold,81,6,116,S. Benson,No
AB-2022-0150,Bridge U150,Blackfalds,Alberta,Industrial,Stantec,38692286.25,2021-06-06,2022-02-19,Completed,135,,3,M. Al-Farsi,Yes
AB-2022-0006,Facility G6,Medicine Hat,Alberta,Oil & Gas,Fluor Canada,43702865.24,2020-11-24,2020-11-18,In Progress,33,2,67,T. Leblanc,
AB-2020-0032,Facility G32,Fort McMurray,Alberta,Infrastructure,Bird Construction,4036830.98,2023-04-25,2024-10-20,On Hold,,2,90,S. Benson,YES
AB-2020-0124,Bridge U124,Red Deer,Alberta,Residential,Graham Construction,25130778.7,2023-02-01,,Completed,226,4,21,M. Al-Farsi,
AB-2022-0174,Pipeline S174,Medicine Hat,Alberta,Industrial,Fluor Canada,,2022-07-05,2024-10-22,Completed,230,3,,,yes
AB-2021-0157,Bridge B157,Lethbridge,Alberta,Infrastructure,ATCO,30521674.46,2022-03-01,2023-08-18,In Progress,31,2,15,M. Al-Farsi,Yes
AB-2020-0168,Depot M168,Calgary,Alberta,Industrial,Graham Construction,19623887.26,2020-02-11,2020-04-14,Completed,143,4,24,D. Kowalski,y
AB-2021-0197,Plaza P197,Calgary,Alberta,Infrastructure,Stantec,43404850.7,2022-09-17,,In Progress,215,11,65,M. Al-Farsi,No
AB-2023-0135,Pipeline F135,Red Deer,Alberta,Commercial,Stantec,27930537.55,2022-01-16,2022-04-27,Completed,131,7,113,,Yes
AB-2020-0084,Bridge G84,Medicine Hat,Alberta,Infrastructure,Graham Construction,6553659.16,2023-01-05,2023-04-25,On Hold,150,,115,A. Mehta,YES
AB-2022-0154,Plaza Y154,Medicine Hat,Alberta,Industrial,Ledcor Group,6535450.81,2022-02-02,2022-09-14,On Hold,196,1,163,,Yes
AB-2022-0198,Bridge Q198,Medicine Hat,Alberta,Commercial,Fluor Canada,8697457.57,2022-02-25,2023-01-21,Completed,233,10,129,T. Leblanc,No
AB-2023-0111,Highway H111,Medicine Hat,Alberta,Industrial,Bird Construction,33984199.04,2020-03-17,2021-04-27,Completed,158,5,36,M. Al-Farsi,y
AB-2020-0080,Overpass C80,Edmonton,Alberta,Infrastructure,Bird Construction,28327324.77,2022-03-02,2023-09-11,In Progress,180,11,46,T. Leblanc,Yes
AB-2020-0096,Facility S96,Fort McMurray,Alberta,Oil & Gas,Stantec,23010677.42,2023-12-19,,On Hold,111,12,176,D. Kowalski,No
AB-2021-0189,Bridge H189,Edmonton,Alberta,Infrastructure,PCL Construction,22473596.98,2021-05-27,2023-04-12,On Hold,145,3,123,A. Mehta,No
AB-2023-0047,Bridge V47,Grande Prairie,Alberta,Oil & Gas,ATCO,28261943.18,2023-09-02,2025-02-08,On Hold,196,1,180,R. Sharma,No
AB-2022-0094,Overpass Q94,Medicine Hat,Alberta,Infrastructure,Ledcor Group,25727131.73,2021-06-18,2022-02-13,In Progress,216,10,32,R. Sharma,y
AB-2023-0043,Tower R43,Fort McMurray,Alberta,Industrial,Fluor Canada,43795634.69,2021-12-06,2022-09-01,Completed,220,7,165,T. Leblanc,No
AB-2022-0122,Tower S122,Edmonton,Alberta,Oil & Gas,Stantec,19753408.14,2020-06-20,2022-10-13,On Hold,,7,91,,y
AB-2023-0083,Pipeline F83,Grande Prairie,Alberta,Residential,PCL Construction,13409451.73,2023-10-23,2024-03-23,Cancelled,,5,111,S. Benson,Yes
AB-2021-0141,Pipeline L141,Grande Prairie,Alberta,Oil & Gas,Graham Construction,21917404.99,2022-11-25,2022-01-04,In Progress,36,2,0,,No
AB-2022-0146,Pipeline Q146,Calgary,Alberta,Commercial,Fluor Canada,10962516.74,2020-09-01,2021-06-05,In Progress,98,2,18,D. Kowalski,Yes
AB-2020-0012,Facility M12,Calgary,Alberta,Commercial,ATCO,,2023-05-26,2024-05-14,Completed,147,7,75,M. Al-Farsi,Yes
AB-2020-0160,Depot E160,Calgary,Alberta,Residential,EllisDon,18952681.73,2021-11-26,2023-01-13,On Hold,205,9,99,S. Benson,Yes
AB-2023-0195,Overpass N195,Fort McMurray,Alberta,Residential,Bird Construction,17131896.02,2021-02-15,,Cancelled,35,11,26,,y
AB-2022-0070,Highway S70,Blackfalds,Alberta,Oil & Gas,Bird Construction,21481961.9,2021-01-15,,Completed,68,7,156,T. Leblanc,YES
AB-2022-0054,Bridge C54,Blackfalds,Alberta,Infrastructure,ATCO,2183804.47,2020-05-16,2020-02-08,In Progress,99,11,138,,Yes
AB-2021-0021,Plaza V21,Grande Prairie,Alberta,Industrial,PCL Construction,41446572.9,2022-11-28,2022-12-10,Completed,108,8,107,,Yes
AB-2021-0161,Highway F161,Grande Prairie,Alberta,Oil & Gas,Bird Construction,,2022-01-26,2023-09-12,In Progress,30,3,14,M. Al-Farsi,y
AB-2023-0179,Highway X179,Lethbridge,Alberta,Infrastructure,EllisDon,31965163.61,2022-07-13,2023-08-09,On Hold,216,9,130,A. Mehta,
AB-2023-0183,Pipeline B183,Blackfalds,Alberta,Residential,Fluor Canada,28602693.95,2020-08-07,2022-02-28,Completed,18,2,51,A. Mehta,y
AB-2023-0067,Bridge P67,Medicine Hat,Alberta,Residential,Bird Construction,18110174.26,2020-07-28,2021-12-11,In Progress,135,8,89,A. Mehta,Yes
AB-2020-0024,Facility Y24,Lethbridge,Alberta,Commercial,Fluor Canada,11326542.84,2020-08-05,2021-11-17,Completed,198,9,129,,
AB-2021-0029,Bridge D29,Calgary,Alberta,Residential,Bird Construction,1064043.78,2021-04-05,2022-11-04,In Progress,70,2,29,T. Leblanc,yes
AB-2020-0184,Depot C184,Red Deer,Alberta,Infrastructure,Graham Construction,22018000.93,2021-06-21,2021-01-15,In Progress,152,7,22,T. Leblanc,y
AB-2021-0041,Tower P41,Medicine Hat,Alberta,Industrial,PCL Construction,18464411.99,2022-11-04,2022-06-14,On Hold,107,8,,R. Sharma,YES
AB-2023-0091,Highway N91,Red Deer,Alberta,Industrial,ATCO,9300432.16,2021-06-28,2023-06-24,On Hold,38,8,81,M. Al-Farsi,No
AB-2021-0101,Highway X101,Lethbridge,Alberta,Commercial,Ledcor Group,14963669.01,2023-02-22,2023-01-18,In Progress,244,7,51,S. Benson,YES
AB-2022-0010,Depot K10,Medicine Hat,Alberta,Commercial,PCL Construction,19482645.53,2023-07-15,2025-01-22,Completed,108,12,63,M. Al-Farsi,No
AB-2021-0149,Highway T149,Red Deer,Alberta,Residential,Graham Construction,15699724.98,2022-03-12,2022-12-25,Completed,202,5,69,R. Sharma,yes
AB-2023-0071,Overpass T71,Fort McMurray,Alberta,Industrial,ATCO,30598562.77,2020-11-21,,Completed,69,10,154,T. Leblanc,YES
AB-2022-0170,Facility O170,Blackfalds,Alberta,Industrial,EllisDon,24554052.41,2021-06-13,,Cancelled,62,9,,R. Sharma,Yes
AB-2022-0102,Pipeline Y102,Calgary,Alberta,Residential,Bird Construction,32581827.87,2020-03-14,2020-01-27,Cancelled,196,4,2,S. Benson,Yes
AB-2023-0063,Highway L63,Red Deer,Alberta,Infrastructure,EllisDon,15893400.42,2021-03-19,2023-07-03,Completed,28,3,116,A. Mehta,Yes
AB-2023-0039,Bridge N39,Lethbridge,Alberta,Commercial,EllisDon,3352731.18,2021-05-20,2023-10-10,Cancelled,184,4,126,,Yes
AB-2022-0030,Bridge E30,Calgary,Alberta,Infrastructure,ATCO,32218409.52,2020-10-23,2022-04-04,On Hold,158,12,10,A. Mehta,
AB-2020-0108,Facility E108,Grande Prairie,Alberta,Residential,Ledcor Group,3245508.71,2023-01-10,2024-03-25,Completed,170,5,97,,y
AB-2023-0079,Highway B79,Grande Prairie,Alberta,Commercial,ATCO,30119438.4,2022-02-17,2024-09-26,Completed,,0,95,S. Benson,Yes
AB-2021-0165,Tower J165,Medicine Hat,Alberta,Infrastructure,EllisDon,32838068.37,2023-10-02,2023-10-11,Completed,149,7,19,M. Al-Farsi,YES
AB-2021-0133,Tower D133,Grande Prairie,Alberta,Infrastructure,Bird Construction,11916549.79,2023-09-21,2024-10-13,Completed,95,9,172,S. Benson,Yes
AB-2023-0167,Overpass L167,Medicine Hat,Alberta,Residential,Fluor Canada,26075788.77,2021-03-15,,On Hold,23,6,19,R. Sharma,YES
AB-2023-0163,Depot H163,Calgary,Alberta,Residential,Ledcor Group,9963581.03,2023-01-11,2025-04-26,Completed,210,5,,T. Leblanc,Yes
AB-2023-0083,Pipeline F83,Grande Prairie,Alberta,Residential,PCL Construction,13409451.73,2023-10-23,2024-03-23,Cancelled,,5,111,S. Benson,Yes
AB-2021-0145,Overpass P145,Medicine Hat,Alberta,Infrastructure,Graham Construction,29061232.48,2021-09-20,2023-12-20,Completed,,4,155,M. Al-Farsi,y
AB-2020-0164,Bridge I164,Grande Prairie,Alberta,Residential,Stantec,29846958.94,2020-06-10,2021-03-06,Cancelled,250,5,143,A. Mehta,No
AB-2020-0040,Highway O40,Medicine Hat,Alberta,Infrastructure,EllisDon,,2021-11-27,2023-10-01,Completed,152,,120,,yes
AB-2020-0120,Facility Q120,Medicine Hat,Alberta,Industrial,Fluor Canada,573840.24,2021-02-16,2022-11-26,In Progress,234,0,177,,yes
AB-2021-0085,Depot H85,Edmonton,Alberta,Oil & Gas,Graham Construction,18001826.96,2022-04-04,2022-12-06,Cancelled,35,4,54,S. Benson,No
AB-2022-0002,Pipeline C2,Calgary,Alberta,Commercial,ATCO,7123255.57,2022-02-03,2023-02-12,Completed,16,8,96,R. Sharma,
AB-2022-0066,Overpass O66,Edmonton,Alberta,Industrial,Ledcor Group,20769978.13,2020-06-19,2021-10-13,Cancelled,108,,158,,YES
AB-2022-0194,Bridge M194,Medicine Hat,Alberta,Commercial,Fluor Canada,30481856.24,2023-03-27,,In Progress,125,2,125,A. Mehta,No
AB-2022-0034,Pipeline I34,Grande Prairie,Alberta,Industrial,Stantec,33605204.34,2022-06-23,2023-05-10,Completed,85,8,176,T. Leblanc,No
AB-2020-0068,Plaza Q68,Edmonton,Alberta,Commercial,EllisDon,27167594.49,2020-03-25,2022-08-15,In Progress,179,9,159,A. Mehta,YES
AB-2020-0072,Bridge U72,Red Deer,Alberta,Infrastructure,EllisDon,31476826.33,2023-03-20,2025-02-10,Completed,213,11,175,R. Sharma,y
AB-2022-0110,Facility G110,Lethbridge,Alberta,Commercial,Fluor Canada,12512890.29,2020-01-26,2022-07-20,Completed,22,0,172,D. Kowalski,No
AB-2023-0011,Depot L11,Red Deer,Alberta,Industrial,Graham Construction,11353819.19,2020-08-26,2022-02-02,Completed,28,3,124,,No
AB-2021-0097,Pipeline T97,Lethbridge,Alberta,Residential,Fluor Canada,28361782.07,2023-03-27,2025-04-02,Completed,9,6,176,M. Al-Farsi,y
AB-2023-0031,Facility F31,Grande Prairie,Alberta,Residential,Stantec,,2023-08-04,2024-06-21,Cancelled,116,8,69,,No
AB-2020-0132,Facility C132,Blackfalds,Alberta,Commercial,ATCO,8509453.6,2023-07-01,2025-10-07,Cancelled,185,4,16,R. Sharma,
AB-2021-0045,Pipeline T45,Fort McMurray,Alberta,Oil & Gas,Fluor Canada,20177650.58,2023-06-11,2025-09-13,On Hold,183,6,105,D. Kowalski,YES
AB-2020-0048,Tower W48,Fort McMurray,Alberta,Residential,Ledcor Group,2666947.38,2022-06-14,2022-04-17,Completed,48,9,158,M. Al-Farsi,No
AB-2020-0020,Overpass U20,Calgary,Alberta,Residential,EllisDon,43319664.06,2022-01-04,2024-07-12,On Hold,135,9,11,,Yes
AB-2022-0046,Depot U46,Medicine Hat,Alberta,Industrial,Graham Construction,1810329.57,2022-02-28,2023-02-17,Completed,109,2,67,A. Mehta,y
AB-2023-0115,Plaza L115,Grande Prairie,Alberta,Infrastructure,ATCO,29245152.1,2022-05-12,,Completed,219,3,105,D. Kowalski,No
AB-2022-0186,Tower E186,Edmonton,Alberta,Industrial,EllisDon,37099395.76,2022-05-15,2024-09-20,Cancelled,39,7,48,T. Leblanc,y
AB-2022-0050,Facility Y50,Blackfalds,Alberta,Residential,Bird Construction,16249318.22,2022-12-10,2022-11-13,Completed,204,0,127,S. Benson,No
AB-2023-0051,Overpass Z51,Lethbridge,Alberta,Commercial,EllisDon,32483637.69,2021-11-04,2023-11-02,Cancelled,,2,75,A. Mehta,y
AB-2020-0140,Pipeline K140,Grande Prairie,Alberta,Industrial,Fluor Canada,260917.87,2020-12-15,2022-11-23,Completed,106,6,126,S. Benson,YES
AB-2023-0151,Depot V151,Grande Prairie,Alberta,Industrial,Graham Construction,43221345.22,2020-09-26,2022-12-21,On Hold,239,4,146,A. Mehta,Yes
AB-2023-0095,Overpass R95,Grande Prairie,Alberta,Oil & Gas,Stantec,9077745.99,2023-09-02,2023-01-05,In Progress,121,8,156,A. Mehta,Yes
AB-2020-0176,Overpass U176,Calgary,Alberta,Oil & Gas,Graham Construction,31974187.52,2023-03-25,2025-10-01,In Progress,19,7,,A. Mehta,No
AB-2022-0114,Facility K114,Calgary,Alberta,Residential,Bird Construction,26503128.44,2021-08-07,2022-05-01,In Progress,35,12,62,M. Al-Farsi,y
AB-2023-0159,Tower D159,Medicine Hat,Alberta,Industrial,Fluor Canada,,2023-03-12,2023-03-09,In Progress,,3,127,,
AB-2020-0196,Highway O196,Calgary,Alberta,Residential,EllisDon,25370615.86,2023-06-12,2023-04-28,Completed,158,10,115,R. Sharma,Yes
AB-2022-0190,Highway I190,Calgary,Alberta,Residential,PCL Construction,30155633.58,2021-02-25,2023-02-24,On Hold,121,4,12,R. Sharma,Yes
AB-2023-0091,Highway N91,Red Deer,Alberta,Industrial,ATCO,9300432.16,2021-06-28,2023-06-24,On Hold,38,8,81,M. Al-Farsi,No
AB-2023-0199,Highway R199,Calgary,Alberta,Oil & Gas,ATCO,21809498.56,2021-12-19,2021-12-27,Cancelled,160,8,107,M. Al-Farsi,yes
AB-2022-0142,Tower M142,Fort McMurray,Alberta,Commercial,EllisDon,16315526.95,2020-06-22,2022-03-02,On Hold,198,10,24,D. Kowalski,No
AB-2021-0081,Depot D81,Calgary,Alberta,Infrastructure,Bird Construction,,2021-01-11,2022-09-13,Completed,14,3,12,A. Mehta,yes
AB-2023-0107,Depot D107,Edmonton,Alberta,Oil & Gas,Fluor Canada,20486438.66,2023-08-19,2023-09-15,On Hold,106,0,148,R. Sharma,Yes
AB-2022-0178,Highway W178,Medicine Hat,Alberta,Residential,Graham Construction,35125381.56,2021-04-21,2021-11-07,Cancelled,226,12,121,T. Leblanc,Yes
AB-2021-0129,Highway Z129,Grande Prairie,Alberta,Oil & Gas,PCL Construction,11283158.95,2022-03-21,2024-01-19,Completed,197,12,2,R. Sharma,yes
AB-2021-0013,Highway N13,Grande Prairie,Alberta,Residential,Ledcor Group,22702839.67,2021-01-17,2021-03-03,Completed,108,9,152,D. Kowalski,Yes
AB-2023-0147,Highway R147,Fort McMurray,Alberta,Commercial,Ledcor Group,42698297.86,2023-09-10,2025-12-17,Cancelled,26,8,71,R. Sharma,yes
AB-2023-0131,Depot B131,Grande Prairie,Alberta,Industrial,PCL Construction,31399832.46,2022-02-10,,On Hold,178,11,44,T. Leblanc,YES
AB-2021-0061,Facility J61,Edmonton,Alberta,Infrastructure,Graham Construction,26452958.96,2022-11-04,2023-06-28,In Progress,239,4,90,R. Sharma,
AB-2020-0100,Overpass W100,Red Deer,Alberta,Infrastructure,Ledcor Group,32179236.74,2022-08-21,2023-12-16,In Progress,243,4,157,M. Al-Farsi,No
AB-2023-0187,Highway F187,Lethbridge,Alberta,Commercial,Graham Construction,1132810.25,2021-02-12,,Completed,141,9,169,R. Sharma,Yes
AB-2022-0166,Overpass K166,Red Deer,Alberta,Residential,Stantec,12044777.96,2021-12-03,2022-05-26,Completed,,6,105,,y
AB-2022-0058,Bridge G58,Edmonton,Alberta,Industrial,Fluor Canada,23168722.4,2020-08-17,2020-10-02,In Progress,82,0,,,y
